year,state,state_po,state_fips,state_cen,state_ic,candidate_id,candidate_ballot_name,candidate_display,party_simplified,candidatevotes,totalvotes,vote_share,writein,source_row_count
1976,MISSISSIPPI,MS,28,64,46.0,peter-camejo,"CAMEJO, PETER",Peter Camejo,OTHER,2805,768390,0.0036504899855542105,False,1
1976,MISSISSIPPI,MS,28,64,46.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,LIBERTARIAN,2609,768390,0.003395411184424576,False,1
1976,MONTANA,MT,30,81,64.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,173703,328734,0.5283998612860246,False,1
1976,MONTANA,MT,30,81,64.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,149259,328734,0.4540418697183741,False,1
1976,MONTANA,MT,30,81,64.0,thomas-j-anderson,"ANDERSON, THOMAS J.",Thomas J. Anderson,OTHER,5772,328734,0.017558268995601308,False,1
1976,NORTH CAROLINA,NC,37,56,47.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,927365,1677906,0.5526918671248569,False,1
1976,NORTH CAROLINA,NC,37,56,47.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,741960,1677906,0.4421940204040036,False,1
1976,NORTH CAROLINA,NC,37,56,47.0,thomas-j-anderson,"ANDERSON, THOMAS J.",Thomas J. Anderson,OTHER,5607,1677906,0.0033416651469152622,False,1
1976,NORTH CAROLINA,NC,37,56,47.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,LIBERTARIAN,2219,1677906,0.0013224817123247668,False,1
1976,NORTH CAROLINA,NC,37,56,47.0,lyndon-larouche-jr,"LAROUCHE, LYNDON, JR.",Lyndon Larouche Jr.,OTHER,755,1677906,0.0004499656118995939,False,1
1976,NORTH DAKOTA,ND,38,44,36.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,153684,297308,0.5169184818437446,False,1
1976,NORTH DAKOTA,ND,38,44,36.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,136078,297308,0.4577004318753616,False,1
1976,NORTH DAKOTA,ND,38,44,36.0,thomas-j-anderson,"ANDERSON, THOMAS J.",Thomas J. Anderson,OTHER,3698,297308,0.012438279494665465,False,1
1976,NORTH DAKOTA,ND,38,44,36.0,eugene-mccarthy,"MCCARTHY, EUGENE ""GENE""",Eugene McCarthy,OTHER,2952,297308,0.009929097097959019,False,1
1976,NORTH DAKOTA,ND,38,44,36.0,lester-maddox,"MADDOX, LESTER",Lester Maddox,OTHER,269,297308,0.0009047856095362385,False,1
1976,NORTH DAKOTA,ND,38,44,36.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,LIBERTARIAN,256,297308,0.0008610599109341154,False,1
1976,NORTH DAKOTA,ND,38,44,36.0,lyndon-larouche-jr,"LAROUCHE, LYNDON, JR.",Lyndon Larouche Jr.,OTHER,142,297308,0.0004776191693462672,False,1
1976,NORTH DAKOTA,ND,38,44,36.0,gus-hall,"HALL, GUS",Gus Hall,OTHER,85,297308,0.00028589879855234304,False,1
1976,NORTH DAKOTA,ND,38,44,36.0,benjamin-ben-bubar,"BUBAR, BENJAMIN ""BEN""","Benjamin ""Ben"" Bubar",OTHER,63,297308,0.0002119014624564425,False,1
1976,NORTH DAKOTA,ND,38,44,36.0,peter-camejo,"CAMEJO, PETER",Peter Camejo,OTHER,43,297308,0.00014463115691471472,False,1
1976,NORTH DAKOTA,ND,38,44,36.0,frank-zeidler,"ZEIDLER, FRANK",Frank Zeidler,OTHER,38,297308,0.00012781358052928277,False,1
1976,NEBRASKA,NE,31,46,35.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,359219,606749,0.5920388826351588,False,1
1976,NEBRASKA,NE,31,46,35.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,233293,606749,0.38449671940126806,False,1
1976,NEBRASKA,NE,31,46,35.0,eugene-mccarthy,"MCCARTHY, EUGENE ""GENE""",Eugene McCarthy,OTHER,9383,606749,0.015464384778549285,False,1
1976,NEBRASKA,NE,31,46,35.0,lester-maddox,"MADDOX, LESTER",Lester Maddox,OTHER,3378,606749,0.005567376295634603,False,1
1976,NEBRASKA,NE,31,46,35.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,LIBERTARIAN,1476,606749,0.0024326368893891875,False,1
1976,NEW HAMPSHIRE,NH,33,12,4.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,185935,339627,0.5474682519352113,False,1
1976,NEW HAMPSHIRE,NH,33,12,4.0,jimmy-carter,"CARTER, JIMMY",Jimmy Carter,DEMOCRAT,147645,339627,0.43472692100451377,False,1
1976,NEW HAMPSHIRE,NH,33,12,4.0,eugene-mccarthy,"MCCARTHY, EUGENE ""GENE""",Eugene McCarthy,OTHER,4095,339627,0.012057345264069111,False,1
1976,NEW HAMPSHIRE,NH,33,12,4.0,roger-macbride,"MACBRIDE, ROGER",Roger Macbride,LIBERTARIAN,936,339627,0.0027559646317872255,False,1
1976,NEW HAMPSHIRE,NH,33,12,4.0,scattering,SCATTERING,Scattering,OTHER,603,339627,0.001775477214709078,False,1
1976,NEW HAMPSHIRE,NH,33,12,4.0,lyndon-larouche-jr,"LAROUCHE, LYNDON, JR.",Lyndon Larouche Jr.,OTHER,186,339627,0.0005476596383679743,False,1
1976,NEW HAMPSHIRE,NH,33,12,4.0,peter-camejo,"CAMEJO, PETER",Peter Camejo,OTHER,161,339627,0.0004740494719206659,False,1
1976,NEW HAMPSHIRE,NH,33,12,4.0,levin-julius-jules,"JULIUS ""JULES"", LEVIN","Levin Julius ""Jules""",OTHER,66,339627,0.00019433083942089409,False,1
1976,NEW JERSEY,NJ,34,22,12.0,gerald-ford,"FORD, GERALD",Gerald Ford,REPUBLICAN,1509688,3014472,0.500813409446165,False,1
